Best restaurant that's been around forever and is still worth the trip 	[u'Lula Cafe']	http://www.chicagoreader.com/chicago/BestOf?category=1979894&year=2011
Best fancy restaurant in Chicago 	[u'Alinea ']	http://www.chicagoreader.com/chicago/best-fancy-restaurant-in-chicago/BestOf?oid=4088017
Best bang for your buck 	[u'Big Star', u'Sultan\u2019s Market']	http://www.chicagoreader.com/chicago/best-bang-for-your-buck/BestOf?oid=4088018
Best chef 	[u'Rick Bayless (Frontera Grill, Topolobampo, Xoco)']	http://www.chicagoreader.com/chicago/best-chef/BestOf?oid=4088191
Best up-and-coming chef 	[u'Jeremy Kiens, \nDunlays on Clark']	http://www.chicagoreader.com/chicago/best-up-and-coming-chef/BestOf?oid=4088225
Best food blog 	[u'Eater Chicago']	http://www.chicagoreader.com/chicago/best-food-blog/BestOf?oid=4088227
Best ampersand restaurant 	[u'Longman & Eagle ']	http://www.chicagoreader.com/chicago/best-ampersand-restaurant/BestOf?oid=4088228
Best restaurant name 	[u'Girl & the Goat']	http://www.chicagoreader.com/chicago/best-restaurant-name/BestOf?oid=4088229
Best new food trend 	[u'Food trucks']	http://www.chicagoreader.com/chicago/best-new-food-trend/BestOf?oid=4088231
Best cocktail list 	[u'The Whistler']	http://www.chicagoreader.com/chicago/best-cocktail-list/BestOf?oid=4088236
Best mixologist 	[u'Paul McGee, the Whistler']	http://www.chicagoreader.com/chicago/best-mixologist/BestOf?oid=4088461
Best wine list 	[u'DOC Winebar']	http://www.chicagoreader.com/chicago/best-wine-list/BestOf?oid=4088462
Best sommelier 	[u'Alpana Singh']	http://www.chicagoreader.com/chicago/best-sommelier/BestOf?oid=4088464
Best brewpub 	[u'Revolution Brewing Company']	http://www.chicagoreader.com/chicago/best-brewpub/BestOf?oid=4088465
Best local brew 	[u'Half Acre Daisy Cutter Pale Ale']	http://www.chicagoreader.com/chicago/best-local-brew/BestOf?oid=4088468
Best wine shop 	[u'Lush Wine & Spirits']	http://www.chicagoreader.com/chicago/best-wine-shop/BestOf?oid=4088469
Best liquor store 	[u'Binny\u2019s Beverage Depot']	http://www.chicagoreader.com/chicago/best-liquor-store/BestOf?oid=4088470
Best BYOB 	[u'Tango Sur']	http://www.chicagoreader.com/chicago/best-byob/BestOf?oid=4088471
Best alfresco dining 	[u'Piccolo Sogno']	http://www.chicagoreader.com/chicago/best-alfresco-dining/BestOf?oid=4088472
Best late night 	[u'Lockdown Bar & Grill']	http://www.chicagoreader.com/chicago/best-late-night/BestOf?oid=4088473
Best for kids 	[u'Frasca Pizzeria & Wine Bar ']	http://www.chicagoreader.com/chicago/best-for-kids/BestOf?oid=4088474
Best waitstaff 	[u'Lockdown Bar & Grill']	http://www.chicagoreader.com/chicago/best-waitstaff/BestOf?oid=4088476
Best-looking waitstaff 	[u'The Smoke Daddy']	http://www.chicagoreader.com/chicago/best-looking-waitstaff/BestOf?oid=4088477
Best food festival 	[u'Taste of Chicago']	http://www.chicagoreader.com/chicago/best-food-festival/BestOf?oid=4088478
Best food truck 	[u'Tamalli Space Charros']	http://www.chicagoreader.com/chicago/best-food-truck/BestOf?oid=4088479
Best gourmet market 	[u'Fox & Obel']	http://www.chicagoreader.com/chicago/best-gourmet-market/BestOf?oid=4088529
Best local grocer 	[u'Green Grocer']	http://www.chicagoreader.com/chicago/best-local-grocer/BestOf?oid=4088661
Best local food product 	[u'Vienna Beef Hot Dogs']	http://www.chicagoreader.com/chicago/best-local-food-product/BestOf?oid=4088662
Best farmers' market 	[u'Green City Market']	http://www.chicagoreader.com/chicago/best-farmers-market/BestOf?oid=4088668
Best butcher shop 	[u'Paulina Meat Market']	http://www.chicagoreader.com/chicago/best-butcher-shop/BestOf?oid=4088669
Best cheesemonger 	[u'Pastoral Artisan Cheese, Bread & Wine']	http://www.chicagoreader.com/chicago/best-cheesemonger/BestOf?oid=4088670
Best barista 	[u'Kristin Marks, Wormhole Coffee']	http://www.chicagoreader.com/chicago/best-barista/BestOf?oid=4088671
Best restaurant with a view 	[u'The Signature Room at the 95th']	http://www.chicagoreader.com/chicago/best-restaurant-with-a-view/BestOf?oid=4088672
Best restaurant for romance 	[u'Geja\u2019s Cafe']	http://www.chicagoreader.com/chicago/best-restaurant-for-romance/BestOf?oid=4088674
Best restaurant for a cheap date 	[u'Big Star']	http://www.chicagoreader.com/chicago/best-restaurant-for-a-cheap-date/BestOf?oid=4088679
Best neighborhood restaurant 	[u'Lula Cafe']	http://www.chicagoreader.com/chicago/best-neighborhood-restaurant/BestOf?oid=4088680
Best bagels 	[u'New York Bagel & Bialy']	http://www.chicagoreader.com/chicago/best-bagels/BestOf?oid=4088681
Best bakery 	[u'Bleeding Heart Bakery']	http://www.chicagoreader.com/chicago/best-bakery/BestOf?oid=4088697
Best barbecue 	[u'Smoque']	http://www.chicagoreader.com/chicago/best-barbecue/BestOf?oid=4088858
Best breakfast 	[u'M. Henry']	http://www.chicagoreader.com/chicago/best-breakfast/BestOf?oid=4088859
Best brunch 	[u'Lula Cafe']	http://www.chicagoreader.com/chicago/best-brunch/BestOf?oid=4088860
Best burger 	[u'Kuma\u2019s Corner']	http://www.chicagoreader.com/chicago/best-burger/BestOf?oid=4088863
Best Chinese 	[u'Lao Sze Chuan']	http://www.chicagoreader.com/chicago/best-chinese/BestOf?oid=4088864
Best coffee shop 	[u'Intelligentsia Coffee and Tea']	http://www.chicagoreader.com/chicago/best-coffee-shop/BestOf?oid=4088867
Best desserts 	[u'Hot Chocolate']	http://www.chicagoreader.com/chicago/best-desserts/BestOf?oid=4088868
Best Greek 	[u'Greek Islands']	http://www.chicagoreader.com/chicago/best-greek/BestOf?oid=4088869
Best hot dog 	[u'Hot Doug\u2019s']	http://www.chicagoreader.com/chicago/best-hot-dog/BestOf?oid=4088870
Best ice cream 	[u'Margie\u2019s Candies']	http://www.chicagoreader.com/chicago/best-ice-cream/BestOf?oid=4088872
Best Indian restaurant 	[u'Chutney Joe\u2019s']	http://www.chicagoreader.com/chicago/best-indian-restaurant/BestOf?oid=4088873
Best Italian 	[u'Cibo Matto']	http://www.chicagoreader.com/chicago/best-italian/BestOf?oid=4088875
Best Korean 	[u'San Soo Gab San']	http://www.chicagoreader.com/chicago/best-korean/BestOf?oid=4088876
Best Mexican 	[u'Frontera Grill']	http://www.chicagoreader.com/chicago/best-mexican/BestOf?oid=4092029
Best Middle Eastern 	[u'Sultan\u2019s Market']	http://www.chicagoreader.com/chicago/best-middle-eastern/BestOf?oid=4092030
Best pizza 	[u'Lou Malnati\u2019s']	http://www.chicagoreader.com/chicago/best-pizza/BestOf?oid=4092032
Best Polish 	[u'Podhalanka Polska Restauracja ', u'Red Apple']	http://www.chicagoreader.com/chicago/best-polish/BestOf?oid=4092033
Best pub grub 	[u'Hopleaf']	http://www.chicagoreader.com/chicago/best-pub-grub/BestOf?oid=4092035
Best sandwiches 	[u'Jerry\u2019s']	http://www.chicagoreader.com/chicago/best-sandwiches/BestOf?oid=4092038
